ID	token	tag
252	one	O
253	(	O
254	with	O
255	a	O
256	playful	O
257	allusion	O
258	to	O
259	democratic	O
260	principles	O
261	)	O
262	to	O
263	scramble	O
264	into	O
265	the	O
266	first	O
267	Brown	O
268	conveyance	O
269	in	O
270	the	O
271	line	O
272	,	O
273	instead	O
274	of	O
275	waiting	O
276	till	O
277	the	O
278	cold-and-gin	O
279	congested	O
280	nose	O
281	of	O
282	one	B-PER
283	's	I-PER
284	own	I-PER
285	coachman	I-PER
286	gleamed	O
287	under	O
288	the	O
289	portico	O
290	of	O
291	the	O
292	Academy	O
293	.	O

294	It	O
295	was	O
296	one	O
297	of	O
298	the	B-PER
299	great	I-PER
300	livery-stableman	I-PER
301	's	O
302	most	O
303	masterly	O
304	intuitions	O
305	to	O
306	have	O
307	discovered	O
308	that	O
309	Americans	B-PER
310	want	O
311	to	O
312	get	O
313	away	O
314	from	O
315	amusement	O
316	even	O
317	more	O
318	quickly	O
319	than	O
320	they	O
321	want	O
322	to	O
323	get	O
324	to	O
325	it	O
326	.	O

327	When	O
328	Newland	B-PER
329	Archer	I-PER
330	opened	O
331	the	O
332	door	O
333	at	O
334	the	O
335	back	O
336	of	O
337	the	O
338	club	O
339	box	O
340	the	O
341	curtain	O
342	had	O
343	just	O
344	gone	O
345	up	O
346	on	O
347	the	O
348	garden	O
349	scene	O
350	.	O

351	There	O
352	was	O
353	no	O
354	reason	O
355	why	O
356	the	B-PER
357	young	I-PER
358	man	I-PER
359	should	O
360	not	O
361	have	O
362	come	O
363	earlier	O
364	,	O
365	for	O
366	he	O
367	had	O
368	dined	O
369	at	O
370	seven	O
371	,	O
372	alone	O
373	with	O
374	his	B-PER
375	mother	I-PER
376	and	O
377	sister	B-PER
378	,	O
379	and	O
380	had	O
381	lingered	O
382	afterward	O
383	over	O
384	a	O
385	cigar	O
386	in	O
387	the	O
388	Gothic	O
389	library	O
390	with	O
391	glazed	O
392	black-walnut	O
393	bookcases	O
394	and	O
395	finial-topped	O
396	chairs	O
397	which	O
398	was	O
399	the	O
400	only	O
401	room	O
402	in	O
403	the	O
404	house	O
405	where	O
406	Mrs.	B-PER
407	Archer	O
408	allowed	O
409	smoking	O
410	.	O

411	But	O
412	,	O
413	in	O
414	the	O
415	first	O
416	place	O
417	,	O
418	New	B-LOC
419	York	I-LOC
420	was	O
421	a	B-LOC
422	metropolis	I-LOC
423	,	O
424	and	O
425	perfectly	O
426	aware	O
427	that	O
428	in	O
429	metropolises	B-LOC
430	it	O
431	was	O
432	""""	O
433	not	O
434	the	O
435	thing	O
436	""""	O
437	to	O
438	arrive	O
439	early	O
440	at	O
441	the	O
442	opera	O
443	;	O
444	and	O
445	what	O
446	was	O
447	or	O
448	was	O
449	not	O
450	""""	O
451	the	O
452	thing	O
453	""""	O
454	played	O
455	a	O
456	part	O
457	as	O
458	important	O
459	in	O
460	Newland	B-PER
461	Archer	I-PER
462	's	O
463	New	O
464	York	O
465	as	O
466	the	O
467	inscrutable	O
468	totem	O
469	terrors	O
470	that	O
471	had	O
472	ruled	O
473	the	O
474	destinies	O
475	of	O
476	his	B-PER
477	forefathers	I-PER
478	thousands	O
479	of	O
480	years	O
481	ago	O
482	.	O

483	The	O
484	second	O
485	reason	O
486	for	O
487	his	O
488	delay	O
489	was	O
490	a	O
491	personal	O
492	one	O
493	.	O

494	He	O
495	had	O
496	dawdled	O
497	over	O
498	his	O
499	cigar	O
500	because	O
501	he	O
502	was	O
503	at	O
504	heart	O
505	a	B-PER
506	dilettante	I-PER
507	,	O
508	and	O
509	thinking	O
510	over	O
511	a	O
512	pleasure	O
513	to	O
514	come	O
515	often	O
516	gave	O
517	him	O
518	a	O
519	subtler	O
520	satisfaction	O
521	than	O
522	its	O
523	realisation	O
524	.	O

525	This	O
526	was	O
527	especially	O
528	the	O
529	case	O
530	when	O
531	the	O
532	pleasure	O
533	was	O
534	a	O
535	delicate	O
536	one	O
537	,	O
538	as	O
539	his	O
540	pleasures	O
541	mostly	O
542	were	O
543	;	O
544	and	O
545	on	O
546	this	O
547	occasion	O
548	the	O
549	moment	O
550	he	O
551	looked	O
552	forward	O
553	to	O
554	was	O
555	so	O
556	rare	O
557	and	O
558	exquisite	O
559	in	O
560	quality	O
561	that	O
562	--	O
563	well	O
564	,	O
565	if	O
566	he	O
567	had	O
568	timed	O
569	his	O
570	arrival	O
571	in	O
572	accord	O
573	with	O
574	the	B-PER
575	prima	I-PER
576	donna	I-PER
577	's	O
578	stage-manager	O
579	he	O
580	could	O
581	not	O
582	have	O
583	entered	O
584	the	O
585	Academy	O
586	at	O
587	a	O
588	more	O
589	significant	O
590	moment	O
591	than	O
592	just	O
593	as	O
594	she	O
595	was	O
596	singing	O
597	:	O
598	""""	O
599	He	O
600	loves	O
601	me	O
602	--	O
603	he	O
604	loves	O
605	me	O
606	not	O
607	--	O
608	HE	O
609	LOVES	O
610	ME	O
611	!	O

612	--	O
613	""""	O
614	and	O
615	sprinkling	O
616	the	O
617	falling	O
618	daisy	O
619	petals	O
620	with	O
621	notes	O
622	as	O
623	clear	O
624	as	O
625	dew	O
626	.	O

627	She	O
628	sang	O
629	,	O
630	of	O
631	course	O
632	,	O
633	""""	O
634	M'ama	O
635	!	O
636	""""	O

637	and	O
638	not	O
639	""""	O
640	he	O
641	loves	O
642	me	O
643	,	O
644	""""	O
645	since	O
646	an	O
647	unalterable	O
648	and	O
649	unquestioned	O
650	law	O
651	of	O
652	the	O
653	musical	O
654	world	O
655	required	O
656	that	O
657	the	O
658	German	O
659	text	O
660	of	O
661	French	O
662	operas	O
663	sung	O
664	by	O
665	Swedish	B-PER
666	artists	I-PER
667	should	O
668	be	O
669	translated	O
670	into	O
671	Italian	O
672	for	O
673	the	O
674	clearer	O
675	understanding	O
676	of	O
677	English-speaking	B-PER
678	audiences	I-PER
679	.	O

680	This	O
681	seemed	O
682	as	O
683	natural	O
684	to	O
685	Newland	B-PER
686	Archer	I-PER
687	as	O
688	all	O
689	the	O
690	other	O
691	conventions	O
692	on	O
693	which	O
694	his	O
695	life	O
696	was	O
697	moulded	O
698	:	O
699	such	O
700	as	O
701	the	O
702	duty	O
703	of	O
704	using	O
705	two	O
706	silver-backed	O
707	brushes	O
708	with	O
709	his	O
710	monogram	O
711	in	O
712	blue	O
713	enamel	O
714	to	O
715	part	O
716	his	O
717	hair	O
718	,	O
719	and	O
720	of	O
721	never	O
722	appearing	O
723	in	O
724	society	O
725	without	O
726	a	O
727	flower	O
728	(	O
729	preferably	O
730	a	O
731	gardenia	O
732	)	O
733	in	O
734	his	O
735	buttonhole	O
736	.	O

737	""""	O
738	M'ama	O
739	...	O
740	non	O
741	m	O
742	'	O
743	ama	O
744	...	O
745	""""	O
746	the	B-PER
747	prima	I-PER
748	donna	I-PER
749	sang	O
750	,	O
751	and	O
752	""""	O
753	M'ama	O
754	!	O
755	""""	O

756	,	O
757	with	O
758	a	O
759	final	O
760	burst	O
761	of	O
762	love	O
763	triumphant	O
764	,	O
765	as	O
766	she	O
767	pressed	O
768	the	O
769	dishevelled	O
770	daisy	O
771	to	O
772	her	O
773	lips	O
774	and	O
775	lifted	O
776	her	O
777	large	O
778	eyes	O
779	to	O
780	the	O
781	sophisticated	O
782	countenance	O
783	of	O
784	the	B-PER
785	little	I-PER
786	brown	I-PER
787	Faust-Capoul	I-PER
788	,	O
789	who	O
790	was	O
791	vainly	O
792	trying	O
793	,	O
794	in	O
795	a	O
796	tight	O
797	purple	O
798	velvet	O
799	doublet	O
800	and	O
801	plumed	O
802	cap	O
803	,	O
804	to	O
805	look	O
806	as	O
807	pure	O
808	and	O
809	true	O
810	as	O
811	his	B-PER
812	artless	I-PER
813	victim	I-PER
814	.	O

815	Newland	B-PER
816	Archer	I-PER
817	,	O
818	leaning	O
819	against	O
820	the	O
821	wall	O
822	at	O
823	the	O
824	back	O
825	of	O
826	the	O
827	club	O
828	box	O
829	,	O
830	turned	O
831	his	O
832	eyes	O
833	from	O
834	the	O
835	stage	O
836	and	O
837	scanned	O
838	the	O
839	opposite	O
840	side	O
841	of	O
842	the	O
843	house	O
844	.	O

845	Directly	O
846	facing	O
847	him	O
848	was	O
849	the	O
850	box	O
851	of	O
852	old	O
853	Mrs.	B-PER
854	Manson	O
855	Mingott	O
856	,	O
857	whose	O
858	monstrous	O
859	obesity	O
860	had	O
861	long	O
862	since	O
863	made	O
864	it	O
865	impossible	O
866	for	O
867	her	O
868	to	O
869	attend	O
870	the	O
871	Opera	O
872	,	O
873	but	O
874	who	O
875	was	O
876	always	O
877	represented	O
878	on	O
879	fashionable	O
880	nights	O
881	by	O
882	some	O
883	of	O
884	the	B-PER
885	younger	I-PER
886	members	I-PER
887	of	I-PER
888	the	I-PER
889	family	I-PER
890	.	O

891	On	O
892	this	O
893	occasion	O
894	,	O
895	the	O
896	front	O
897	of	O
898	the	O
899	box	O
900	was	O
901	filled	O
902	by	O
903	her	B-PER
904	daughter-in-law	I-PER
905	,	O
906	Mrs.	B-PER
907	Lovell	O
908	Mingott	O
909	,	O
910	and	O
911	her	B-PER
912	daughter	I-PER
913	,	O
914	Mrs.	B-PER
915	Welland	O
916	;	O
917	and	O
918	slightly	O
919	withdrawn	O
920	behind	O
921	these	B-PER
922	brocaded	I-PER
923	matrons	I-PER
924	sat	O
925	a	O
926	young	O
927	girl	O
928	in	O
929	white	O
930	with	O
931	eyes	O
932	ecstatically	O
933	fixed	O
934	on	O
935	the	B-PER
936	stagelovers	I-PER
937	.	O

938	As	O
939	Madame	B-PER
940	Nilsson	O
941	's	O
942	""""	O
943	M'ama	O
944	!	O
945	""""	O

946	thrilled	O
947	out	O
948	above	O
949	the	O
950	silent	O
951	house	O
952	(	O
953	the	B-PER
954	boxes	I-PER
955	always	O
956	stopped	O
957	talking	O
958	during	O
959	the	O
960	Daisy	O
961	Song	O
962	)	O
963	a	O
964	warm	O
965	pink	O
966	mounted	O
967	to	O
968	the	B-PER
969	girl	I-PER
970	's	O
971	cheek	O
972	,	O
973	mantled	O
974	her	O
975	brow	O
976	to	O
977	the	O
978	roots	O
979	of	O
980	her	O
981	fair	O
982	braids	O
983	,	O
984	and	O
985	suffused	O
986	the	O
987	young	O
988	slope	O
989	of	O
990	her	O
991	breast	O
992	to	O
993	the	O
994	line	O
995	where	O
996	it	O
997	met	O
998	a	O
999	modest	O
1000	tulle	O
1001	tucker	O
1002	fastened	O
1003	with	O
1004	a	O
1005	single	O
1006	gardenia	O
1007	.	O

1008	She	O
1009	dropped	O
1010	her	O
1011	eyes	O
1012	to	O
1013	the	O
1014	immense	O
1015	bouquet	O
1016	of	O
1017	lilies-of-the-valley	O
1018	on	O
1019	her	O
1020	knee	O
1021	,	O
1022	and	O
1023	Newland	B-PER
1024	Archer	I-PER
1025	saw	O
1026	her	O
1027	white-gloved	O
1028	finger-tips	O
1029	touch	O
1030	the	O
1031	flowers	O
1032	softly	O
1033	.	O

1034	He	O
1035	drew	O
1036	a	O
1037	breath	O
1038	of	O
1039	satisfied	O
1040	vanity	O
1041	and	O
1042	his	O
1043	eyes	O
1044	returned	O
1045	to	O
1046	the	O
1047	stage	O
1048	.	O

1049	No	O
1050	expense	O
1051	had	O
1052	been	O
1053	spared	O
1054	on	O
1055	the	O
1056	setting	O
1057	,	O
1058	which	O
1059	was	O
1060	acknowledged	O
1061	to	O
1062	be	O
1063	very	O
1064	beautiful	O
1065	even	O
1066	by	O
1067	people	O
1068	who	O
1069	shared	O
1070	his	O
1071	acquaintance	O
1072	with	O
1073	the	O
1074	Opera	O
1075	houses	O
1076	of	O
1077	Paris	B-LOC
1078	and	O
1079	Vienna	B-LOC
1080	.	O

1081	The	O
1082	foreground	O
1083	,	O
1084	to	O
1085	the	O
1086	footlights	O
1087	,	O
1088	was	O
1089	covered	O
1090	with	O
1091	emerald	O
1092	green	O
1093	cloth	O
1094	.	O

1095	In	O
1096	the	O
1097	middle	O
1098	distance	O
1099	symmetrical	O
1100	mounds	O
1101	of	O
1102	woolly	O
1103	green	O
1104	moss	O
1105	bounded	O
1106	by	O
1107	croquet	O
1108	hoops	O
1109	formed	O
1110	the	O
1111	base	O
1112	of	O
1113	shrubs	O
1114	shaped	O
1115	like	O
1116	orange-trees	O
1117	but	O
1118	studded	O
1119	with	O
1120	large	O
1121	pink	O
1122	and	O
1123	red	O
1124	roses	O
1125	.	O

1126	Gigantic	O
1127	pansies	O
1128	,	O
1129	considerably	O
1130	larger	O
1131	than	O
1132	the	O
1133	roses	O
1134	,	O
1135	and	O
1136	closely	O
1137	resembling	O
1138	the	O
1139	floral	O
1140	pen-wipers	O
1141	made	O
1142	by	O
1143	female	B-PER
1144	parishioners	I-PER
1145	for	O
1146	fashionable	B-PER
1147	clergymen	I-PER
1148	,	O
1149	sprang	O
1150	from	O
1151	the	O
1152	moss	O
1153	beneath	O
1154	the	O
1155	rose-trees	O
1156	;	O
1157	and	O
1158	here	O
1159	and	O
1160	there	O
1161	a	O
1162	daisy	O
1163	grafted	O
1164	on	O
1165	a	O
1166	rose-branch	O
1167	flowered	O
1168	with	O
1169	a	O
1170	luxuriance	O
1171	prophetic	O
1172	of	O
1173	Mr.	B-PER
1174	Luther	O
1175	Burbank	O
1176	's	O
1177	far-off	O
1178	prodigies	O
1179	.	O

1180	In	O
1181	the	O
1182	centre	O
1183	of	O
1184	this	O
1185	enchanted	O
1186	garden	O
1187	Madame	B-PER
1188	Nilsson	O
1189	,	O
1190	in	O
1191	white	O
1192	cashmere	O
1193	slashed	O
1194	with	O
1195	pale	O
1196	blue	O
1197	satin	O
1198	,	O
1199	a	O
1200	reticule	O
1201	dangling	O
1202	from	O
1203	a	O
1204	blue	O
1205	girdle	O
1206	,	O
1207	and	O
1208	large	O
1209	yellow	O
1210	braids	O
1211	carefully	O
1212	disposed	O
1213	on	O
1214	each	O
1215	side	O
1216	of	O
1217	her	O
1218	muslin	O
1219	chemisette	O
1220	,	O
1221	listened	O
1222	with	O
1223	downcast	O
1224	eyes	O
1225	to	O
1226	M.	B-PER
1227	Capoul	I-PER
1228	's	O
1229	impassioned	O
1230	wooing	O
1231	,	O
1232	and	O
1233	affected	O
1234	a	O
1235	guileless	O
1236	incomprehension	O
1237	of	O
1238	his	O
1239	designs	O
1240	whenever	O
1241	,	O
1242	by	O
1243	word	O
1244	or	O
1245	glance	O
1246	,	O
1247	he	O
1248	persuasively	O
1249	indicated	O
1250	the	O
1251	ground	O
1252	floor	O
1253	window	O
1254	of	O
1255	the	O
1256	neat	O
1257	brick	O
1258	villa	O
1259	projecting	O
1260	obliquely	O
1261	from	O
1262	the	O
1263	right	O
1264	wing	O
1265	.	O

1266	""""	O
1267	The	O
1268	darling	O
1269	!	O
1270	""""	O

1271	thought	O
1272	Newland	B-PER
1273	Archer	I-PER
1274	,	O
1275	his	O
1276	glance	O
1277	flitting	O
1278	back	O
1279	to	O
1280	the	B-PER
1281	young	I-PER
1282	girl	I-PER
1283	with	I-PER
1284	the	I-PER
1285	lilies-of-the-valley	I-PER
1286	.	O

1287	""""	O
1288	She	O
1289	does	O
1290	n't	O
1291	even	O
1292	guess	O
1293	what	O
1294	it	O
1295	's	O
1296	all	O
1297	about	O
1298	.	O
1299	""""	O

1300	And	O
1301	he	O
1302	contemplated	O
1303	her	O
1304	absorbed	O
1305	young	O
1306	face	O
1307	with	O
1308	a	O
1309	thrill	O
1310	of	O
1311	possessorship	O
1312	in	O
1313	which	O
1314	pride	O
1315	in	O
1316	his	O
1317	own	O
1318	masculine	O
1319	initiation	O
1320	was	O
1321	mingled	O
1322	with	O
1323	a	O
1324	tender	O
1325	reverence	O
1326	for	O
1327	her	O
1328	abysmal	O
1329	purity	O
1330	.	O

1331	""""	O
1332	We	O
1333	'll	O
1334	read	O
1335	Faust	B-PER
1336	together	O
1337	...	O
1338	by	O
1339	the	B-LOC
1340	Italian	I-LOC
1341	lakes	I-LOC
1342	...	O
1343	""""	O
1344	he	O
1345	thought	O
1346	,	O
1347	somewhat	O
1348	hazily	O
1349	confusing	O
1350	the	O
1351	scene	O
1352	of	O
1353	his	O
1354	projected	O
1355	honey-moon	O
1356	with	O
1357	the	O
1358	masterpieces	O
1359	of	O
1360	literature	O
1361	which	O
1362	it	O
1363	would	O
1364	be	O
1365	his	O
1366	manly	O
1367	privilege	O
1368	to	O
1369	reveal	O
1370	to	O
1371	his	B-PER
1372	bride	I-PER
1373	.	O

1374	It	O
1375	was	O
1376	only	O
1377	that	O
1378	afternoon	O
1379	that	O
1380	May	B-PER
1381	Welland	I-PER
1382	had	O
1383	let	O
1384	him	O
1385	guess	O
1386	that	O
1387	she	O
1388	""""	O
1389	cared	O
1390	""""	O
1391	(	O
1392	New	B-LOC
1393	York	I-LOC
1394	's	O
1395	consecrated	O
1396	phrase	O
1397	of	O
1398	maiden	O
1399	avowal	O
1400	)	O
1401	,	O
1402	and	O
1403	already	O
1404	his	O
1405	imagination	O
1406	,	O
1407	leaping	O
1408	ahead	O
1409	of	O
1410	the	O
1411	engagement	O
1412	ring	O
1413	,	O
1414	the	O
1415	betrothal	O
1416	kiss	O
1417	and	O
1418	the	O
1419	march	O
1420	from	O
1421	Lohengrin	O
1422	,	O
1423	pictured	O
1424	her	O
1425	at	O
1426	his	O
1427	side	O
1428	in	O
1429	some	O
1430	scene	O
1431	of	O
1432	old	O
1433	European	O
1434	witchery	O
1435	.	O

1436	He	O
1437	did	O
1438	not	O
1439	in	O
1440	the	O
1441	least	O
1442	wish	O
1443	the	O
1444	future	O
1445	Mrs.	B-PER
1446	Newland	B-PER
1447	Archer	I-PER
1448	to	O
1449	be	O
1450	a	B-PER
1451	simpleton	I-PER
1452	.	O

1453	He	O
1454	meant	O
1455	her	O
1456	(	O
1457	thanks	O
1458	to	O
1459	his	O
1460	enlightening	O
1461	companionship	O
1462	)	O
1463	to	O
1464	develop	O
1465	a	O
1466	social	O
1467	tact	O
1468	and	O
1469	readiness	O
1470	of	O
1471	wit	O
1472	enabling	O
1473	her	O
1474	to	O
1475	hold	O
1476	her	O
1477	own	O
1478	with	O
1479	the	B-PER
1480	most	I-PER
1481	popular	I-PER
1482	married	I-PER
1483	women	I-PER
1484	of	I-PER
1485	the	I-PER
1486	""""	I-PER
1487	younger	I-PER
1488	set	I-PER
1489	,	O
1490	""""	O
1491	in	O
1492	which	O
1493	it	O
1494	was	O
1495	the	O
1496	recognised	O
1497	custom	O
1498	to	O
1499	attract	O
1500	masculine	O
1501	homage	O
1502	while	O
1503	playfully	O
1504	discouraging	O
1505	it	O
1506	.	O

1507	If	O
1508	he	O
1509	had	O
1510	probed	O
1511	to	O
1512	the	O
1513	bottom	O
1514	of	O
1515	his	O
1516	vanity	O
1517	(	O
1518	as	O
1519	he	O
1520	sometimes	O
1521	nearly	O
1522	did	O
1523	)	O
1524	he	O
1525	would	O
1526	have	O
1527	found	O
1528	there	O
1529	the	O
1530	wish	O
1531	that	O
1532	his	B-PER
1533	wife	I-PER
1534	should	O
1535	be	O
1536	as	O
1537	worldly-wise	O
1538	and	O
1539	as	O
1540	eager	O
1541	to	O
1542	please	O
1543	as	O
1544	the	B-PER
1545	married	I-PER
1546	lady	I-PER
1547	whose	I-PER
1548	charms	I-PER
1549	had	I-PER
1550	held	I-PER
1551	his	I-PER
1552	fancy	I-PER
1553	through	I-PER
1554	two	I-PER
1555	mildly	I-PER
1556	agitated	I-PER
1557	years	I-PER
1558	;	O
1559	without	O
1560	,	O
1561	of	O
1562	course	O
1563	,	O
1564	any	O
1565	hint	O
1566	of	O
1567	the	O
1568	frailty	O
1569	which	O
1570	had	O
1571	so	O
1572	nearly	O
1573	marred	O
1574	that	B-PER
1575	unhappy	I-PER
1576	being	I-PER
1577	's	I-PER
1578	life	I-PER
1579	,	O
1580	and	O
1581	had	O
1582	disarranged	O
1583	his	O
1584	own	O
1585	plans	O
1586	for	O
1587	a	O
1588	whole	O
1589	winter	O
1590	.	O

1591	How	O
1592	this	O
1593	miracle	O
1594	of	O
1595	fire	O
1596	and	O
1597	ice	O
1598	was	O
1599	to	O
1600	be	O
1601	created	O
1602	,	O
1603	and	O
1604	to	O
1605	sustain	O
1606	itself	O
1607	in	O
1608	a	B-LOC
1609	harsh	I-LOC
1610	world	I-LOC
1611	,	O
1612	he	O
1613	had	O
1614	never	O
1615	taken	O
1616	the	O
1617	time	O
1618	to	O
1619	think	O
1620	out	O
1621	;	O
1622	but	O
1623	he	O
1624	was	O
1625	content	O
1626	to	O
1627	hold	O
1628	his	O
1629	view	O
1630	without	O
1631	analysing	O
1632	it	O
1633	,	O
1634	since	O
1635	he	O
1636	knew	O
1637	it	O
1638	was	O
1639	that	O
1640	of	O
1641	all	B-PER
1642	the	I-PER
1643	carefully-brushed	I-PER
1644	,	I-PER
1645	white-waistcoated	I-PER
1646	,	I-PER
1647	button-hole-flowered	I-PER
1648	gentlemen	I-PER
1649	who	I-PER
1650	succeeded	I-PER
1651	each	I-PER
1652	other	I-PER
1653	in	I-PER
1654	the	I-PER
1655	club	I-PER
1656	box	I-PER
1657	,	O
1658	exchanged	O
1659	friendly	O
1660	greetings	O
1661	with	O
1662	him	O
1663	,	O
1664	and	O
1665	turned	O
1666	their	O
1667	opera-glasses	O
1668	critically	O
1669	on	O
1670	the	B-PER
1671	circle	I-PER
1672	of	I-PER
1673	ladies	I-PER
1674	who	I-PER
1675	were	I-PER
1676	the	I-PER
1677	product	I-PER
1678	of	I-PER
1679	the	I-PER
1680	system	I-PER
1681	.	O

1682	In	O
1683	matters	O
1684	intellectual	O
1685	and	O
1686	artistic	O
1687	Newland	B-PER
1688	Archer	I-PER
1689	felt	O
1690	himself	O
1691	distinctly	O
1692	the	B-PER
1693	superior	I-PER
1694	of	I-PER
1695	these	I-PER
1696	chosen	I-PER
1697	specimens	I-PER
1698	of	I-PER
1699	old	I-PER
1700	New	I-PER
1701	York	I-PER
1702	gentility	I-PER
1703	;	O
1704	he	O
1705	had	O
1706	probably	O
1707	read	O
1708	more	O
1709	,	O
1710	thought	O
1711	more	O
1712	,	O
1713	and	O
1714	even	O
1715	seen	O
1716	a	O
1717	good	O
1718	deal	O
1719	more	O
1720	of	O
1721	the	B-LOC
1722	world	I-LOC
1723	,	O
1724	than	O
1725	any	B-PER
1726	other	I-PER
1727	man	I-PER
1728	of	I-PER
1729	the	I-PER
1730	number	I-PER
1731	.	O

1732	Singly	O
1733	they	O
1734	betrayed	O
1735	their	O
1736	inferiority	O
1737	;	O
1738	but	O
1739	grouped	O
1740	together	O
1741	they	O
1742	represented	O
1743	""""	O
1744	New	B-LOC
1745	York	I-LOC
1746	,	O
1747	""""	O
1748	and	O
1749	the	O
1750	habit	O
1751	of	O
1752	masculine	O
1753	solidarity	O
1754	made	O
1755	him	O
1756	accept	O
1757	their	O
1758	doctrine	O
1759	on	O
1760	all	O
1761	the	O
1762	issues	O
1763	called	O
1764	moral	O
1765	.	O

1766	He	O
1767	instinctively	O
1768	felt	O
1769	that	O
1770	in	O
1771	this	O
1772	respect	O
1773	it	O
1774	would	O
1775	be	O
1776	troublesome	O
1777	--	O
1778	and	O
1779	also	O
1780	rather	O
1781	bad	O
1782	form	O
1783	--	O
1784	to	O
1785	strike	O
1786	out	O
1787	for	O
1788	himself	O
1789	.	O

1790	""""	O
1791	Well	O
1792	--	O
1793	upon	O
1794	my	O
1795	soul	O
1796	!	O
1797	""""	O

1798	exclaimed	O
1799	Lawrence	B-PER
1800	Lefferts	I-PER
1801	,	O
1802	turning	O
1803	his	O
1804	opera-glass	O
1805	abruptly	O
1806	away	O
1807	from	O
1808	the	O
1809	stage	O
1810	.	O

1811	Lawrence	B-PER
1812	Lefferts	I-PER
1813	was	O
1814	,	O
1815	on	O
1816	the	O
1817	whole	O
1818	,	O
1819	the	O
1820	foremost	O
1821	authority	O
1822	on	O
1823	""""	O
1824	form	O
1825	""""	O
1826	in	O
1827	New	B-LOC
1828	York	I-LOC
1829	.	O

1830	He	O
1831	had	O
1832	probably	O
1833	devoted	O
1834	more	O
1835	time	O
1836	than	O
1837	any	B-PER
1838	one	I-PER
1839	else	I-PER
1840	to	O
1841	the	O
1842	study	O
1843	of	O
1844	this	O
1845	intricate	O
1846	and	O
1847	fascinating	O
